sl_mult,tp_mult,threshold,min_rr,return_pct,sharpe,win_rate,profit_factor,max_dd,trades,sl_exits,tp_exits,avg_mae,avg_mfe,alpha,composite
3.5,5.0,58,2.0,10.00629344383053,2.903918924802988,43.75,1.5571634322288352,4.757431603230154,48,27,21,2.470871150430105,3.492614145497076,44.61160043728458,66.75846316423335
3.5,6.0,58,2.0,10.00629344383053,2.903918924802988,43.75,1.5571634322288352,4.757431603230154,48,27,21,2.470871150430105,3.492614145497076,44.61160043728458,66.75846316423335
3.5,3.5,58,2.0,10.00629344383053,2.903918924802988,43.75,1.5571634322288352,4.757431603230154,48,27,21,2.470871150430105,3.492614145497076,44.61160043728458,66.75846316423335
3.5,4.5,58,2.0,10.00629344383053,2.903918924802988,43.75,1.5571634322288352,4.757431603230154,48,27,21,2.470871150430105,3.492614145497076,44.61160043728458,66.75846316423335
3.5,4.0,58,2.0,10.00629344383053,2.903918924802988,43.75,1.5571634322288352,4.757431603230154,48,27,21,2.470871150430105,3.492614145497076,44.61160043728458,66.75846316423335
3.5,5.5,58,2.0,10.00629344383053,2.903918924802988,43.75,1.5571634322288352,4.757431603230154,48,27,21,2.470871150430105,3.492614145497076,44.61160043728458,66.75846316423335
2.8,4.0,55,1.5,11.660174043618964,2.74533418200023,55.434782608695656,1.4569681294477643,3.248719756337335,92,41,51,2.139542096563752,2.5008487968887114,46.265481037073016,64.92363089107036
2.8,3.5,55,1.5,11.660174043618964,2.74533418200023,55.434782608695656,1.4569681294477643,3.248719756337335,92,41,51,2.139542096563752,2.5008487968887114,46.265481037073016,64.92363089107036
3.5,4.5,52,2.0,9.213418945500711,2.6522973579091276,43.75,1.476712706747457,3.887268955879825,48,27,21,2.609296544695797,3.6584676382087378,43.81872593895476,64.43710621732357
3.5,5.0,52,2.0,9.213418945500711,2.6522973579091276,43.75,1.476712706747457,3.887268955879825,48,27,21,2.609296544695797,3.6584676382087378,43.81872593895476,64.43710621732357
3.5,5.5,52,2.0,9.213418945500711,2.6522973579091276,43.75,1.476712706747457,3.887268955879825,48,27,21,2.609296544695797,3.6584676382087378,43.81872593895476,64.43710621732357
3.5,6.0,52,2.0,9.213418945500711,2.6522973579091276,43.75,1.476712706747457,3.887268955879825,48,27,21,2.609296544695797,3.6584676382087378,43.81872593895476,64.43710621732357
3.5,4.0,52,2.0,9.213418945500711,2.6522973579091276,43.75,1.476712706747457,3.887268955879825,48,27,21,2.609296544695797,3.6584676382087378,43.81872593895476,64.43710621732357
3.5,3.5,52,2.0,9.213418945500711,2.6522973579091276,43.75,1.476712706747457,3.887268955879825,48,27,21,2.609296544695797,3.6584676382087378,43.81872593895476,64.43710621732357
