sl_mult,tp_mult,threshold,min_conv,return_pct,sharpe,win_rate,profit_factor,max_dd,trades,avg_pnl,alpha,sl_exits,tp_exits,avg_mae,avg_mfe,composite
3.0,4.5,55,2,5.1437819799349205,1.5611628687053407,40.67796610169492,1.2508321219706275,4.31717138410893,59,0.48015609956016303,39.72928003955981,34,24,2.5998810368030303,3.027692023145021,54.7495874232744
3.0,3.75,55,2,5.1437819799349205,1.5611628687053407,40.67796610169492,1.2508321219706275,4.31717138410893,59,0.48015609956016303,39.72928003955981,34,24,2.5998810368030303,3.027692023145021,54.7495874232744
3.0,4.5,55,3,0.22509168353881248,0.28705132210148016,35.294117647058826,1.0316353119132406,4.627249918722567,51,0.06542737116359539,34.8105897431637,32,18,2.795865504616854,2.833499487926043,44.08927044916865
3.0,3.75,55,3,0.22509168353881248,0.28705132210148016,35.294117647058826,1.0316353119132406,4.627249918722567,51,0.06542737116359539,34.8105897431637,32,18,2.795865504616854,2.833499487926043,44.08927044916865
3.0,4.5,50,2,-0.9968361470670744,-0.017559481647733514,36.61971830985916,0.986524226127257,7.909739494802028,71,-0.026829381617307444,33.58866191255782,44,26,2.573704533365595,2.6363601399985117,40.67537761003642
3.0,3.75,50,2,-0.9968361470670744,-0.017559481647733514,36.61971830985916,0.986524226127257,7.909739494802028,71,-0.026829381617307444,33.58866191255782,44,26,2.573704533365595,2.6363601399985117,40.67537761003642
2.0,4.5,55,2,-2.9653137219697783,-0.4013412897427435,38.53211009174312,0.9381819233595121,7.336015351931803,109,-0.09242093417274755,31.62018433765511,67,42,1.874983135596244,2.087379091200331,37.900239967424156
3.0,4.5,50,3,-2.3822593204351277,-0.4275775576689508,33.87096774193548,0.9275369006437566,6.950862152021431,62,-0.14932891707786683,32.203238739189764,40,21,2.6525959542524356,2.6053642238867516,37.716434683629956
3.0,3.75,50,3,-2.3822593204351277,-0.4275775576689508,33.87096774193548,0.9275369006437566,6.950862152021431,62,-0.14932891707786683,32.203238739189764,40,21,2.6525959542524356,2.6053642238867516,37.716434683629956
2.5,3.75,55,2,-3.605279893260513,-0.5827423237272354,38.63636363636363,0.9125051398571318,8.44430032847955,88,-0.16145494437184918,30.980218166364377,54,34,2.22930692839052,2.3900559973449935,36.136991157187815
2.5,3.0,55,2,-3.605279893260513,-0.5827423237272354,38.63636363636363,0.9125051398571318,8.44430032847955,88,-0.16145494437184918,30.980218166364377,54,34,2.22930692839052,2.3900559973449935,36.136991157187815
2.5,4.5,55,2,-3.605279893260513,-0.5827423237272354,38.63636363636363,0.9125051398571318,8.44430032847955,88,-0.16145494437184918,30.980218166364377,54,34,2.22930692839052,2.3900559973449935,36.136991157187815
3.0,4.5,45,2,-5.507410389991923,-1.0705218437623951,32.432432432432435,0.8432022846178572,9.572233938343574,74,-0.32976728994566096,29.078087669632964,49,24,2.653750285353593,2.4835928486642618,31.94789588416065
3.0,3.75,45,2,-5.507410389991923,-1.0705218437623951,32.432432432432435,0.8432022846178572,9.572233938343574,74,-0.32976728994566096,29.078087669632964,49,24,2.653750285353593,2.4835928486642618,31.94789588416065
2.5,3.0,55,3,-4.909152783159721,-1.2543393956504583,36.76470588235294,0.8342316728818071,8.595261324974619,68,-0.3179943923460698,29.67634527646517,43,25,2.4490838636508765,2.437554366734728,31.0184742003623
2.5,4.5,55,3,-4.909152783159721,-1.2543393956504583,36.76470588235294,0.8342316728818071,8.595261324974619,68,-0.3179943923460698,29.67634527646517,43,25,2.4490838636508765,2.437554366734728,31.0184742003623
2.5,3.75,55,3,-4.909152783159721,-1.2543393956504583,36.76470588235294,0.8342316728818071,8.595261324974619,68,-0.3179943923460698,29.67634527646517,43,25,2.4490838636508765,2.437554366734728,31.0184742003623
2.0,3.75,55,2,-7.164948151739839,-1.3157693532492787,38.21138211382114,0.8281214550104128,8.977890593238806,123,-0.24840296982575322,27.42054990788505,76,47,1.8234012798805685,1.8363616272181371,30.453636102671524
2.0,3.0,55,2,-7.164948151739839,-1.3157693532492787,38.21138211382114,0.8281214550104128,8.977890593238806,123,-0.24840296982575322,27.42054990788505,76,47,1.8234012798805685,1.8363616272181371,30.453636102671524
3.0,4.5,45,3,-6.29781068354514,-1.4066605476023357,31.343283582089555,0.7985216184412809,9.710001188932095,67,-0.4282699404496954,28.28768737607975,45,21,2.7033887696017436,2.563041975096755,29.293991270256768
3.0,3.75,45,3,-6.29781068354514,-1.4066605476023357,31.343283582089555,0.7985216184412809,9.710001188932095,67,-0.4282699404496954,28.28768737607975,45,21,2.7033887696017436,2.563041975096755,29.293991270256768
2.0,3.75,50,2,-10.223930639335164,-1.8477649465316144,35.07462686567165,0.7663280993281157,11.399732771272907,134,-0.33967922043569404,24.361567420289724,87,46,1.8691001888960463,1.7938001977913214,25.711198480469985
2.0,3.0,50,2,-10.223930639335164,-1.8477649465316144,35.07462686567165,0.7663280993281157,11.399732771272907,134,-0.33967922043569404,24.361567420289724,87,46,1.8691001888960463,1.7938001977913214,25.711198480469985
2.5,3.0,50,2,-9.93268197103696,-1.9221460778041175,32.98969072164948,0.759382988048504,13.993121424778309,97,-0.46940433658504455,24.65281608858793,65,32,2.3424243183302407,2.230930725535716,24.39429361305519
2.5,4.5,50,2,-9.93268197103696,-1.9221460778041175,32.98969072164948,0.759382988048504,13.993121424778309,97,-0.46940433658504455,24.65281608858793,65,32,2.3424243183302407,2.230930725535716,24.39429361305519
2.5,3.75,50,2,-9.93268197103696,-1.9221460778041175,32.98969072164948,0.759382988048504,13.993121424778309,97,-0.46940433658504455,24.65281608858793,65,32,2.3424243183302407,2.230930725535716,24.39429361305519
2.5,3.0,50,3,-10.828633202408037,-2.584478501919061,28.915662650602407,0.6917155495408559,12.154860693813145,83,-0.6109971439540848,23.756864857216854,59,24,2.4834282415181903,2.2253964279696543,20.06954477421977
2.5,4.5,50,3,-10.828633202408037,-2.584478501919061,28.915662650602407,0.6917155495408559,12.154860693813145,83,-0.6109971439540848,23.756864857216854,59,24,2.4834282415181903,2.2253964279696543,20.06954477421977
2.5,3.75,50,3,-10.828633202408037,-2.584478501919061,28.915662650602407,0.6917155495408559,12.154860693813145,83,-0.6109971439540848,23.756864857216854,59,24,2.4834282415181903,2.2253964279696543,20.06954477421977
2.5,4.5,45,2,-12.878768369180433,-2.4990539671876113,31.683168316831683,0.6979288637346104,14.507106866706426,101,-0.596135176831557,21.706729690444455,69,32,2.4104578162478756,2.2527413497162683,19.959262319990543
2.5,3.75,45,2,-12.878768369180433,-2.4990539671876113,31.683168316831683,0.6979288637346104,14.507106866706426,101,-0.596135176831557,21.706729690444455,69,32,2.4104578162478756,2.2527413497162683,19.959262319990543
2.5,3.0,45,2,-12.878768369180433,-2.4990539671876113,31.683168316831683,0.6979288637346104,14.507106866706426,101,-0.596135176831557,21.706729690444455,69,32,2.4104578162478756,2.2527413497162683,19.959262319990543
2.0,4.5,55,3,-8.377522380345397,-2.7166867232868417,29.72972972972973,0.6777496920338695,9.376427091804072,74,-0.5239440703451665,26.207975679279492,52,22,2.0067923058301385,1.9342048829040943,19.923614093189318
2.5,4.5,45,3,-12.485076134238136,-2.605273337001584,29.47368421052631,0.6892469975711533,13.371011238518223,95,-0.6161700224368061,22.100421925386755,67,28,2.469993650467746,2.2367099674506665,19.547016574050403
2.5,3.0,45,3,-12.485076134238136,-2.605273337001584,29.47368421052631,0.6892469975711533,13.371011238518223,95,-0.6161700224368061,22.100421925386755,67,28,2.469993650467746,2.2367099674506665,19.547016574050403
2.5,3.75,45,3,-12.485076134238136,-2.605273337001584,29.47368421052631,0.6892469975711533,13.371011238518223,95,-0.6161700224368061,22.100421925386755,67,28,2.469993650467746,2.2367099674506665,19.547016574050403
2.0,4.5,50,2,-13.133497699116992,-2.7885681063051515,29.82456140350877,0.6704571078582656,14.089210504530724,114,-0.5343609131919009,21.452000360507895,80,33,2.062181263108689,1.8579664054687546,17.981256315586748
2.0,3.75,45,2,-15.996621707843975,-2.872904716990621,31.292517006802722,0.6594012756548128,16.76158242778713,147,-0.5040307173839679,18.588876351780915,101,45,1.8800932894431275,1.7413053312692994,16.526113978450972
2.0,3.0,45,2,-15.996621707843975,-2.872904716990621,31.292517006802722,0.6594012756548128,16.76158242778713,147,-0.5040307173839679,18.588876351780915,101,45,1.8800932894431275,1.7413053312692994,16.526113978450972
